,Training Time (s),Testing Time (s),Inference Throughput gpu (fps),OpenVINO Inference Throughput (fps),pixel_AUROC,pixel_AUPRO,image_AUROC,image_F1Score,dataset.category,dataset.image_size,device,model_name
0,215.24237895011902,12.895737648010254,19.890026601484323,,0.9876450300216675,0.94881671667099,0.9503545761108398,0.9586206674575806,pill,224,gpu,cfa
0,224.71673464775085,8.266640424728394,18.315833391250894,,0.9892590641975403,0.9475370645523071,0.9928571581840515,0.9838709831237793,bottle,224,gpu,cfa
0,212.7505669593811,11.604763507843018,18.03940037319154,,0.9740855693817139,0.8962314128875732,0.6741135120391846,0.863468587398529,screw,224,gpu,cfa
0,218.3428122997284,10.479465007781982,12.826338983132395,,0.987913191318512,0.9362503886222839,0.9821964502334595,0.9617487192153931,cable,224,gpu,cfa
0,106.82742857933044,10.550702810287476,16.525808452276834,,0.9829412698745728,0.9003589153289795,1.0,1.0,tile,224,gpu,cfa
0,177.41622734069824,11.260215282440186,12.59137855740908,,0.9886382222175598,0.9378772974014282,0.9226166009902954,0.947826087474823,capsule,224,gpu,cfa
0,113.00734257698059,7.26787257194519,13.231948526622645,,0.9899467825889587,0.9009267687797546,0.9944444298744202,0.9830508232116699,toothbrush,224,gpu,cfa
0,127.38497352600098,10.632239818572998,12.428041396146694,,0.9762707948684692,0.9077009558677673,0.9747191071510315,0.9555555582046509,carpet,224,gpu,cfa
0,154.49040603637695,8.82643985748291,15.309771998585994,,0.6937153339385986,0.32163333892822266,0.42773598432540894,0.8507462739944458,grid,224,gpu,cfa
0,377.82929706573486,9.785291194915771,12.474352327206681,,0.9777054786682129,0.9323721528053284,0.9633333683013916,0.9066666960716248,transistor,224,gpu,cfa
0,156.21583032608032,10.125192642211914,13.052583097600976,,0.9841752052307129,0.9316625595092773,1.0,1.0,hazelnut,224,gpu,cfa
0,267.67864871025085,9.277476072311401,13.03104211561033,,0.9704769849777222,0.8887458443641663,0.9964911937713623,0.9833333492279053,wood,224,gpu,cfa
0,310.66219210624695,10.22787857055664,13.272667482244243,,0.9890856742858887,0.9544814825057983,0.99558424949646,0.9836065769195557,leather,224,gpu,cfa
0,181.42768692970276,11.864595651626587,16.235277699578667,,0.988831102848053,0.9538196325302124,0.9734768867492676,0.9749999642372131,zipper,224,gpu,cfa
0,118.93816924095154,9.13960886001587,27.06482231549479,,0.9902556538581848,0.9189326167106628,0.9990224838256836,0.9946523904800415,metal_nut,224,gpu,cfa
