,Training Time (s),Testing Time (s),Inference Throughput gpu (fps),OpenVINO Inference Throughput (fps),pixel_AUROC,pixel_AUPRO,image_AUROC,image_F1Score,dataset.category,dataset.image_size,device,model_name
0,339.56903171539307,14.740681886672974,6.716479171745594,,0.9755703806877136,0.9040879607200623,0.9873015880584717,0.9921259880065918,bottle,224,gpu,cflow
0,453.9551546573639,23.54798173904419,6.791693135279605,,0.9704260230064392,0.9177935123443604,0.9034370183944702,0.9375,pill,224,gpu,cflow
0,388.8253080844879,21.67169499397278,5.893256110140505,,0.9432330131530762,0.8065736889839172,0.7640554904937744,0.8124999403953552,cable,224,gpu,cflow
0,279.54057908058167,18.659008026123047,5.764270013250838,,0.9828586578369141,0.9051459431648254,0.9278021454811096,0.9308755993843079,capsule,224,gpu,cflow
0,662.1617579460144,17.372220516204834,5.880835624559245,,0.984512448310852,0.9289394617080688,0.7873194217681885,0.9189188480377197,carpet,224,gpu,cflow
0,1655.3587319850922,21.301694869995117,6.438923650113079,,0.9691519737243652,0.8857627511024475,0.7925804257392883,0.8905659914016724,screw,224,gpu,cflow
0,952.5043377876282,17.10769557952881,6.652615402509927,,0.966729462146759,0.9086452722549438,0.9448052048683167,0.9710982441902161,tile,224,gpu,cflow
0,106.14394497871399,10.062056064605713,5.899269804453253,,0.9791017770767212,0.8144890666007996,0.8694444894790649,0.9375,toothbrush,224,gpu,cflow
0,1731.8810498714447,14.286293268203735,5.992288902298878,,0.9685508608818054,0.9022966027259827,0.8680033683776855,0.9333333373069763,grid,224,gpu,cflow
0,699.0309360027313,16.453730821609497,5.867405710356968,,0.8853703737258911,0.6947463750839233,0.5854166746139526,0.6451613306999207,transistor,224,gpu,cflow
0,722.2925457954407,17.424285173416138,5.619518796314066,,0.978200376033783,0.9250825047492981,0.9778571128845215,0.9655172228813171,hazelnut,224,gpu,cflow
0,287.4021372795105,14.63835334777832,5.86304300251204,,0.9394007921218872,0.8773945569992065,0.9929824471473694,0.9833333492279053,wood,224,gpu,cflow
0,401.81864523887634,17.680768489837646,5.646026374329876,,0.9937548637390137,0.9814211130142212,1.0,1.0,leather,224,gpu,cflow
0,502.2155182361603,21.507111072540283,6.544490467464694,,0.9610901474952698,0.8519612550735474,0.9206933379173279,0.950413167476654,zipper,224,gpu,cflow
0,444.51363039016724,16.896190643310547,7.344282902875849,,0.9672510623931885,0.8478646874427795,0.9970674514770508,0.9945945739746094,metal_nut,224,gpu,cflow
