,Training Time (s),Testing Time (s),Inference Throughput gpu (fps),OpenVINO Inference Throughput (fps),pixel_AUROC,pixel_AUPRO,image_AUROC,image_F1Score,dataset.category,dataset.image_size,device,model_name
0,310.3086438179016,8.574294805526733,8.261619345798804,,0.8918203115463257,0.5356605648994446,0.9976190328598022,0.984375,bottle,256,gpu,csflow
0,321.7784380912781,12.345997095108032,8.601753053741298,,0.8679401874542236,0.3561934530735016,0.7495908141136169,0.91558438539505,pill,256,gpu,csflow
0,91.49354529380798,11.871595859527588,7.025393365038776,,0.6186003684997559,0.21845445036888123,0.8335832357406616,0.8121212124824524,cable,256,gpu,csflow
0,94.91189074516296,11.735657691955566,7.952033225107541,,0.6149888038635254,0.20309047400951385,0.4115597605705261,0.8530465960502625,screw,256,gpu,csflow
0,89.04586029052734,10.876030445098877,7.0666436850527745,,0.7466497421264648,0.2739526927471161,0.725568413734436,0.9177488684654236,capsule,256,gpu,csflow
0,287.3047080039978,10.154523372650146,8.07130127779351,,0.8113667964935303,0.4835498332977295,0.9650071859359741,0.950617253780365,tile,256,gpu,csflow
0,278.40199732780457,10.094259023666382,7.078761784657794,,0.8872642517089844,0.5684724450111389,1.0,1.0,carpet,256,gpu,csflow
0,373.6856162548065,8.846298694610596,7.444133724570359,,0.794357180595398,0.455147922039032,0.9707602858543396,0.9636363983154297,grid,256,gpu,csflow
0,851.9413268566132,8.340870380401611,7.561135999074263,,0.9083102941513062,0.3015969395637512,0.8777777552604675,0.8695651888847351,toothbrush,256,gpu,csflow
0,373.6069920063019,9.806121110916138,6.963574199380961,,0.8887261748313904,0.44779419898986816,0.9217857122421265,0.9066666960716248,hazelnut,256,gpu,csflow
0,250.38729691505432,10.255110502243042,7.067679648706108,,0.8943042755126953,0.6229523420333862,1.0,1.0,leather,256,gpu,csflow
0,86.77304720878601,10.374525547027588,9.452225326161521,,0.678645670413971,0.15163996815681458,0.7883676290512085,0.9029126167297363,metal_nut,256,gpu,csflow
0,583.3922336101532,8.583261251449585,7.845714818985411,,0.9508769512176514,0.6141462922096252,0.942916750907898,0.8500000238418579,transistor,256,gpu,csflow
0,259.7259967327118,8.538629531860352,7.785923694473837,,0.7372503280639648,0.29232993721961975,0.9964911937713623,0.9836065173149109,wood,256,gpu,csflow
0,524.3132812976837,10.288480997085571,8.86745329682146,,0.7986097931861877,0.4556955397129059,0.9716386198997498,0.9672130942344666,zipper,256,gpu,csflow
