,Training Time (s),Testing Time (s),Inference Throughput gpu (fps),OpenVINO Inference Throughput (fps),image_AUROC,image_F1Score,dataset.category,dataset.image_size,device,model_name
0,14.87642765045166,6.795645713806152,21.196834691261596,,0.9690476655960083,0.9538462162017822,bottle,256,gpu,dfkde
0,14.8600172996521,6.793299913406372,22.701008572145373,,0.6426623463630676,0.9185667634010315,pill,256,gpu,dfkde
0,13.524513959884644,6.247667551040649,20.433701776477218,,0.6812871694564819,0.8530465960502625,screw,256,gpu,dfkde
0,14.049682140350342,7.034916162490845,14.201177341475415,,0.6714768409729004,0.7744681239128113,cable,256,gpu,dfkde
0,13.632914781570435,6.767662286758423,21.475250449409003,,0.9657287001609802,0.9523809552192688,tile,256,gpu,dfkde
0,14.140445709228516,6.753352403640747,15.02026998595906,,0.7818109393119812,0.9121338725090027,capsule,256,gpu,dfkde
0,12.981737613677979,6.791571855545044,13.534189583236978,,0.8305555582046509,0.8571428656578064,toothbrush,256,gpu,dfkde
0,14.748847723007202,6.502362966537476,12.80118901268264,,0.6203852295875549,0.8640776872634888,carpet,256,gpu,dfkde
0,12.687773704528809,7.25310492515564,13.785654525444176,,0.7995833158493042,0.7111111283302307,transistor,256,gpu,dfkde
0,12.634082078933716,5.963088512420654,16.954674052276697,,0.4979114532470703,0.8444444537162781,grid,256,gpu,dfkde
0,13.546287059783936,7.0048887729644775,13.43510096436327,,0.8500000238418579,0.8813559412956238,wood,256,gpu,dfkde
0,14.315762996673584,6.2169189453125,12.876512163255217,,0.7860714197158813,0.8363636136054993,hazelnut,256,gpu,dfkde
0,11.793339014053345,6.357975482940674,18.79407070629947,,0.8581932783126831,0.9061223864555359,zipper,256,gpu,dfkde
0,12.946373224258423,5.922863721847534,15.92717789189042,,0.7571331262588501,0.8598130345344543,leather,256,gpu,dfkde
0,10.912428617477417,5.301578760147095,32.26163695122707,,0.7590420246124268,0.8942307829856873,metal_nut,256,gpu,dfkde
